Every 1st line: Acceleration
Every 2nd line: Gyro Measurement
Every 3rd line: Mag
Every 4th line: (Yaw, Pitch, Roll)
(-2.307; 26.291; -11.661)
(-1.98863; 3.19272; -0.406821)
(-0.0161; -0.2283; -0.4137)
(-71.122; -16.803; -128.713)
(-9.492; 14.723; 14.949)
(-1.22325; 11.4913; 0.161517)
(0.267; -0.3383; -0.1477)
(179.984; -3.357; -83.063)
(9.538; -1.307; -1.755)
(0.403823; -0.606676; 5.35335)
(0.076; -0.3523; -0.2109)
(171.973; 26.619; -99.128)
(-16.322; 8.572; 5.035)
(0.541611; -1.8242; -13.3806)
(0.2296; -0.3537; -0.044)
(155.508; 3.25; -83.777)
(-21.464; 11.319; -7.719)
(2.56824; -8.85741; 8.19804)
(0.2776; -0.2768; -0.308)
(-148.702; -13.842; -101.02)
(-8.011; 5.648; -9.71)
(-8.6139; -8.99154; -0.834694)
(-0.1083; -0.2302; -0.3313)
(-95.179; 19.462; -106.37)
(-27.615; 5.62; 4.377)
(6.69559; 18.1776; 1.73678)
(0.0564; -0.1855; -0.402)
(-129.709; 9.914; -121.158)
(3.344; 7.898; 22.682)
(-5.58541; -5.14506; 9.43969)
(0.1392; -0.3358; -0.1836)
(144.689; 13.469; -112.884)
(-22.044; 4.214; -10.107)
(-8.92479; -8.00569; -14.3484)
(-0.1685; -0.2; -0.2467)
(-98.927; 40.789; -94.172)
(-4.205; 10.576; 8.215)
(0.193114; 1.65479; 6.014)
(0.0242; -0.3205; -0.2049)
(-119.915; 12.538; -86.492)
(-21.77; 22.993; -29.974)
(-21.3248; -12.3514; -5.35282)
(-0.0853; -0.302; -0.1487)
(-82.263; 15.46; -84.763)
(-7.022; 9.473; 16.365)
(3.76995; 11.5732; 2.26226)
(0.0058; -0.2906; -0.2613)
(-147.892; 25.742; -103.785)
(-2.188; 9.736; 10.5)
(-1.84009; -2.23041; 0.443439)
(0.0294; -0.2274; -0.3424)
(-162.553; 26.04; -124.651)
(3.608; 2.363; -3.803)
(-0.743301; -2.14399; 4.1738)
(-0.1098; -0.1866; -0.3213)
(-143.157; 45.263; -117.165)
(3.441; 2.484; -1.076)
(3.84678; 5.90541; 1.61635)
(-0.1194; -0.1718; -0.3187)
(-174.279; 51.754; -130.611)
